Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
08NL064,"LORNE LAKE NEAR PRINCETON",BC,Discontinued,49.40500,-120.41472,1973,1975,"",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL065,"NICKEL PLATE LAKE NEAR HEDLEY",BC,Discontinued,49.39528,-119.96194,1975,1979,"",,R,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL067,"TULAMEEN RIVER NEAR TULAMEEN",BC,Discontinued,49.54056,-120.80000,1976,1979,"619",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL068,"NICKEL PLATE RESERVOIR OUTFLOW",BC,Discontinued,49.39417,-119.96639,1975,1976,"6.73",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL069,"PASAYTEN RIVER ABOVE CALCITE CREEK",BC,Active,49.09893,-120.57937,1975,2024,"566",,N,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NL070,"SIMILKAMEEN RIVER ABOVE GOODFELLOW CREEK",BC,Active,49.09410,-120.67255,1974,2024,"408",,N,Flow and Level,Continuous,N,Y,N,ASSUMED DATUM,VANCOUVER,"",N
08NL071,"TULAMEEN RIVER BELOW VUICH CREEK",BC,Active,49.46568,-120.97891,1974,2024,"253",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NL072,"ASHNOLA RIVER ABOVE YOUNG CREEK",BC,Discontinued,49.13417,-120.29028,1975,1979,"",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL073,"YOUNG CREEK NEAR THE MOUTH",BC,Discontinued,49.14722,-120.26861,1974,1978,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL074,"LITTLE MUDDY CREEK BELOW LIGHTNING LAKE",BC,Discontinued,49.06250,-120.81667,1975,1977,"",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL075,"SIMILKAMEEN RIVER ABOVE MEMALOOSE CREEK",BC,Discontinued,49.11611,-120.83528,1986,1986,"",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NL076,"EWART CREEK NEAR CATHEDRAL PARK",BC,Active,49.13250,-120.03781,1998,2024,"",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM001,"OKANAGAN RIVER NEAR FAIRVIEW",BC,Discontinued,49.13611,-119.57778,1914,1914,"",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM002,"OKANAGAN RIVER AT OKANAGAN FALLS",BC,Active,49.34205,-119.58041,1915,2024,"6720",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM003,"LAMBLY CREEK NEAR THE MOUTH",BC,Discontinued,49.92778,-119.51056,1919,1975,"272",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM004,"KLO CREEK NEAR KELOWNA",BC,Discontinued,49.81667,-119.36250,1919,1922,"77.7",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM005,"MCLEAN CREEK NEAR OKANAGAN FALLS",BC,Discontinued,49.34667,-119.52306,1921,1926,"20.7",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM006,"SHUTTLEWORTH CREEK NEAR OKANAGAN FALLS",BC,Discontinued,49.33056,-119.51528,1921,1964,"85.2",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM007,"CHUTE CREEK NEAR NARAMATA",BC,Discontinued,49.67778,-119.53333,1920,1922,"32.4",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM008,"VERNON CREEK ABOVE DIVERSIONS",BC,Discontinued,50.02000,-119.40111,1919,1919,"90.7",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM009,"VERNON CREEK AT INLET TO WOOD LAKE",BC,Discontinued,50.04944,-119.40556,1969,1987,"151",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM010,"HYDRAULIC CREEK NEAR THE MOUTH",BC,Discontinued,49.84056,-119.33250,1976,1982,"89.6",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM011,"HYDRAULIC CREEK AT OUTLET OF MCCULLOCH RESERVOIR",BC,Discontinued,49.78361,-119.18444,1976,1986,"",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
08NM012,"INKANEEP CREEK NEAR OLIVER (LOWER STATION)",BC,Discontinued,49.11667,-119.49167,1920,1950,"164",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM013,"JACK CREEK AT THE MOUTH",BC,Discontinued,49.81806,-119.74861,1919,1919,"40.4",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM014,"MCDOUGALL CREEK NEAR WESTBANK",BC,Discontinued,49.87917,-119.58889,1923,1929,"38.9",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM015,"VASEUX CREEK ABOVE DUTTON CREEK",BC,Discontinued,49.26222,-119.47417,1958,1982,"255",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM016,"MISSION CREEK NEAR RUTLAND",BC,Discontinued,49.85222,-119.33722,1942,1946,"622",,R,Flow,Continuous,N,N,N,,VANCOUVER,"",N
