x,y,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,LOCAL_DATE,MIN_REL_HUMIDITY,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,STATION_NAME,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND,ID,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,LOCAL_YEAR,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,CLIMATE_IDENTIFIER
-122.57416722222223,58.841390555555556,4.2,,9.4,13.8,14,2016-06-14 00:00:00,,18.1,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.6.14,,,4.4,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,7.4,,9.3,10.6,15,2016-06-15 00:00:00,,11.9,,,,0,,,,BC,FORT NELSON,34,,44,,1192948.2016.6.15,,,22.2,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,3.2,,10.8,14.8,13,2016-06-13 00:00:00,,18.7,,,,0,,,,BC,FORT NELSON,29,,37,,1192948.2016.6.13,,,0.2,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.3,18.1,12,2016-06-12 00:00:00,,24.8,,,,0.1,,,,BC,FORT NELSON,25,,43,,1192948.2016.6.12,,,1.9,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,10.5,18.6,24,2016-06-24 00:00:00,,26.7,,,,0.6,,,,BC,FORT NELSON,0,,0,,1192948.2016.6.24,,,0.2,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.4,,9.3,16.6,18,2016-06-18 00:00:00,,23.8,,,,0,,,,BC,FORT NELSON,28,,37,,1192948.2016.6.18,,,2.4,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.7,,8.8,17.3,11,2016-06-11 00:00:00,,25.8,,,,0,,,,BC,FORT NELSON,15,,35,,1192948.2016.6.11,,,0,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.1,22.1,20,2016-06-20 00:00:00,,30,,,,4.1,,,,BC,FORT NELSON,0,,0,,1192948.2016.6.20,,,0,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.3,21.3,29,2016-06-29 00:00:00,,29.2,,,,3.3,,,,BC,FORT NELSON,8,,35,,1192948.2016.6.29,,,0.3,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.7,19.8,19,2016-06-19 00:00:00,,27.8,,,,1.8,,,,BC,FORT NELSON,0,,0,,1192948.2016.6.19,,,0,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.8,,8.6,17.2,10,2016-06-10 00:00:00,,25.7,,,,0,,,,BC,FORT NELSON,18,,32,,1192948.2016.6.10,,,0,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.6,,13.4,17.4,23,2016-06-23 00:00:00,,21.3,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.6.23,,,2.2,6,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,16.5,20.9,19,2016-07-19 00:00:00,,25.2,,,,2.9,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.19,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.1,,9.9,16.9,9,2016-07-09 00:00:00,,23.9,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.9,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.6,20.3,15,2016-07-15 00:00:00,,29,,,,2.3,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.15,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.4,22.1,18,2016-07-18 00:00:00,,29.8,,,,4.1,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.18,,,0.4,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,9.8,18.4,14,2016-07-14 00:00:00,,26.9,,,,0.4,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.14,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.8,20.9,16,2016-07-16 00:00:00,,28,,,,2.9,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.16,,,0.4,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,12.7,19.4,20,2016-07-20 00:00:00,,26,,,,1.4,,,,BC,FORT NELSON,32,,48,,1192948.2016.7.20,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,12.7,19.3,31,2016-07-31 00:00:00,,25.8,,,,1.3,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.31,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.6,19.2,4,2016-07-04 00:00:00,,23.7,,,,1.2,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.4,,,22.8,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,15.4,20,5,2016-07-05 00:00:00,,24.5,,,,2,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.5,,,0.3,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,15.5,22.4,17,2016-07-17 00:00:00,,29.2,,,,4.4,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.17,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.6,18.5,26,2016-07-26 00:00:00,,25.3,,,,0.5,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.26,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,12.9,18.4,23,2016-07-23 00:00:00,,23.8,,,,0.4,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.23,,,3,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.3,,13.4,17.7,2,2016-07-02 00:00:00,,21.9,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.2,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.5,,10.5,17.5,25,2016-07-25 00:00:00,,24.5,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.25,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,10.4,19,10,2016-07-10 00:00:00,,27.5,,,,1,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.10,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.2,,10.4,16.8,24,2016-07-24 00:00:00,,23.1,,,,0,,,,BC,FORT NELSON,31,,43,,1192948.2016.7.24,,,2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.8,,9.6,16.2,30,2016-07-30 00:00:00,,22.7,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.30,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.3,,10.1,17.7,3,2016-07-03 00:00:00,,25.2,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.3,,,2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.4,18.7,13,2016-07-13 00:00:00,,25.9,,,,0.7,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.13,,,0.4,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.8,,10.1,17.2,1,2016-07-01 00:00:00,,24.3,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.1,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,4.5,,8.5,13.5,21,2016-07-21 00:00:00,,18.5,,,,0,,,,BC,FORT NELSON,34,,32,,1192948.2016.7.21,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.3,19.6,12,2016-07-12 00:00:00,,24.8,,,,1.6,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.12,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.4,,13.3,16.6,8,2016-07-08 00:00:00,,19.9,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.8,,,0.5,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.7,20.6,28,2016-07-28 00:00:00,,26.5,,,,2.6,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.28,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.5,,12.4,17.5,22,2016-07-22 00:00:00,,22.6,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.22,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.5,19.8,6,2016-07-06 00:00:00,,26,,,,1.8,,,,BC,FORT NELSON,26,,32,,1192948.2016.7.6,,,3.1,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.4,20.1,27,2016-07-27 00:00:00,,26.7,,,,2.1,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.27,,,0.5,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.4,,13.5,17.6,7,2016-07-07 00:00:00,,21.7,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.7,,,25.3,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.3,18.9,29,2016-07-29 00:00:00,,23.4,,,,0.9,,,,BC,FORT NELSON,29,,33,,1192948.2016.7.29,,,0.2,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.6,19.2,11,2016-07-11 00:00:00,,24.7,,,,1.2,,,,BC,FORT NELSON,0,,0,,1192948.2016.7.11,,,0,7,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.8,,11,17.2,2,2016-08-02 00:00:00,,23.3,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.2,,,0.2,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.5,20.1,8,2016-08-08 00:00:00,,28.7,,,,2.1,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.8,,,0.4,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0.1,,9.4,17.9,7,2016-08-07 00:00:00,,26.3,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.7,,,0.2,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,9.8,18.8,3,2016-08-03 00:00:00,,27.7,,,,0.8,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.3,,,0,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13,19.2,4,2016-08-04 00:00:00,,25.4,,,,1.2,,,,BC,FORT NELSON,5,,35,,1192948.2016.8.4,,,3.7,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,12.7,19.5,1,2016-08-01 00:00:00,,26.3,,,,1.5,,,,BC,FORT NELSON,34,,41,,1192948.2016.8.1,,,2.4,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,10.6,18.2,11,2016-08-11 00:00:00,,25.8,,,,0.2,,,,BC,FORT NELSON,31,,41,,1192948.2016.8.11,,,0.2,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,12.4,18.7,17,2016-08-17 00:00:00,,24.9,,,,0.7,,,,BC,FORT NELSON,34,,32,,1192948.2016.8.17,,,0,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.9,19.9,19,2016-08-19 00:00:00,,25.8,,,,1.9,,,,BC,FORT NELSON,29,,48,,1192948.2016.8.19,,,0,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.6,19.8,13,2016-08-13 00:00:00,,26,,,,1.8,,,,BC,FORT NELSON,33,,33,,1192948.2016.8.13,,,0.3,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,10.9,18.7,5,2016-08-05 00:00:00,,26.5,,,,0.7,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.5,,,0.2,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.8,21.1,15,2016-08-15 00:00:00,,28.3,,,,3.1,,,,BC,FORT NELSON,29,,43,,1192948.2016.8.15,,,0,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.4,19.2,16,2016-08-16 00:00:00,,23.9,,,,1.2,,,,BC,FORT NELSON,29,,48,,1192948.2016.8.16,,,0.8,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,11.7,19.2,12,2016-08-12 00:00:00,,26.7,,,,1.2,,,,BC,FORT NELSON,31,,32,,1192948.2016.8.12,,,0.4,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,13.9,21.1,14,2016-08-14 00:00:00,,28.2,,,,3.1,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.14,,,0.2,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,1.4,,13.6,16.6,6,2016-08-06 00:00:00,,19.6,,,,0,,,,BC,FORT NELSON,0,,0,,1192948.2016.8.6,,,0,8,,,,2016,M,M,,1192948
-122.57416722222223,58.841390555555556,0,,14.3,20.9,10,2016-08-10 00:00:00,,27.4,,,,2.9,,,,BC,FORT NELSON,30,,35,,1192948.2016.8.10,,,0,8,,,,2016,M,M,,1192948
