x,y,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DAY,LOCAL_DATE,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,SPEED_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,STATION_NAME,LOCAL_YEAR,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,ID,MIN_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG
-118.22841666666666,49.01683333333333,,,-5.5,0,,12,2015-01-12 00:00:00,0,,21.5,21,,,1,BILLINGS,2015,,,,1140876,,,BC,-3.5,-1.5,,,1140876.2015.1.12,,0,,0,,
-118.22841666666666,49.01683333333333,,,13.5,0,,29,2019-08-29 00:00:00,0,,0,0,,,8,BILLINGS,2019,,,,1140876,,,BC,22.3,31,,,1140876.2019.8.29,,0,,4.3,,
-118.22841666666666,49.01683333333333,,,6.5,0,,9,2022-10-09 00:00:00,0,,3.5,0,,,10,BILLINGS,2022,,,,1140876,,,BC,14.5,22.5,,,1140876.2022.10.9,,0,,0,,
-118.22841666666666,49.01683333333333,,,1.5,0,,12,2014-05-12 00:00:00,0,,6.7,0,,,5,BILLINGS,2014,,,,1140876,,,BC,11.3,21,,,1140876.2014.5.12,,0,,0,,
-118.22841666666666,49.01683333333333,,,11.5,2.6,,21,2016-07-21 00:00:00,2.6,,0,0,,,7,BILLINGS,2016,,,,1140876,,,BC,21.5,31.5,,,1140876.2016.7.21,,0,,3.5,,
-118.22841666666666,49.01683333333333,,,-2,0,,28,2020-10-28 00:00:00,0,,15.2,4,,,10,BILLINGS,2020,,,,1140876,,,BC,2.8,7.5,,,1140876.2020.10.28,,0,,0,,
-118.22841666666666,49.01683333333333,,,-0.5,0,,1,2020-03-01 00:00:00,0,,14.2,25,,,3,BILLINGS,2020,,,,1140876,,,BC,3.8,8,,,1140876.2020.3.1,,0,,0,,
-118.22841666666666,49.01683333333333,,,5.5,0,,3,2020-05-03 00:00:00,0,,9.2,0,,,5,BILLINGS,2020,,,,1140876,T,,BC,8.8,12,T,,1140876.2020.5.3,,0,,0,,
-118.22841666666666,49.01683333333333,,,-9,0,T,16,2019-01-16 00:00:00,0,,23.5,15,,,1,BILLINGS,2019,,,,1140876,,,BC,-5.5,-2,T,,1140876.2019.1.16,,0,,0,,
-118.22841666666666,49.01683333333333,,,7,0,,5,2014-09-05 00:00:00,0,,1.2,0,,,9,BILLINGS,2014,,,,1140876,,,BC,16.8,26.5,,,1140876.2014.9.5,,0,,0,,
-118.22841666666666,49.01683333333333,,,12,1.8,,17,2022-06-17 00:00:00,1.8,,1.7,0,,,6,BILLINGS,2022,,,,1140876,,,BC,16.3,20.5,,,1140876.2022.6.17,,0,,0,,
-118.22841666666666,49.01683333333333,,,6.5,0,,3,2020-06-03 00:00:00,0,,3.7,0,,,6,BILLINGS,2020,,,,1140876,,,BC,14.3,22,,,1140876.2020.6.3,,0,,0,,
-118.22841666666666,49.01683333333333,,,10,0,,10,2013-05-10 00:00:00,0,,0,0,,,5,BILLINGS,2013,,,,1140876,,,BC,20.5,31,,,1140876.2013.5.10,,0,,2.5,,
-118.22841666666666,49.01683333333333,,,2.5,0,,22,2022-05-22 00:00:00,0,,6,0,,,5,BILLINGS,2022,,,,1140876,,,BC,12,21.5,,,1140876.2022.5.22,,0,,0,,
-118.22841666666666,49.01683333333333,,,8.5,0,,26,2018-06-26 00:00:00,0,,2,0,,,6,BILLINGS,2018,,,,1140876,,,BC,16,23.5,,,1140876.2018.6.26,,0,,0,,
-118.22841666666666,49.01683333333333,,,5,0.6,,6,2014-05-06 00:00:00,0.6,,7.7,0,,,5,BILLINGS,2014,,,,1140876,,,BC,10.3,15.5,,,1140876.2014.5.6,,0,,0,,
-118.22841666666666,49.01683333333333,,,8.5,0,,13,2020-07-13 00:00:00,0,,1.5,0,,,7,BILLINGS,2020,,,,1140876,,,BC,16.5,24.5,,,1140876.2020.7.13,,0,,0,,
-118.22841666666666,49.01683333333333,,,5,1.4,,4,2022-04-04 00:00:00,1.4,,9.5,0,,,4,BILLINGS,2022,,,,1140876,,,BC,8.5,12,,,1140876.2022.4.4,,0,,0,,
-118.22841666666666,49.01683333333333,,,11.5,0,,21,2017-08-21 00:00:00,0,,0,0,,,8,BILLINGS,2017,,,,1140876,,,BC,21.3,31,,,1140876.2017.8.21,,0,,3.3,,
-118.22841666666666,49.01683333333333,,,5.5,0,,29,2021-09-29 00:00:00,0,,7.7,0,,,9,BILLINGS,2021,,,,1140876,,,BC,10.3,15,,,1140876.2021.9.29,,0,,0,,
-118.22841666666666,49.01683333333333,,,1.5,4.8,,30,2014-03-30 00:00:00,4.8,,13.5,0,,,3,BILLINGS,2014,,,,1140876,,,BC,4.5,7.5,,,1140876.2014.3.30,,0,,0,,
-118.22841666666666,49.01683333333333,,,10,0,,15,2017-08-15 00:00:00,0,,0,0,,,8,BILLINGS,2017,,,,1140876,,,BC,19.5,29,,,1140876.2017.8.15,,0,,1.5,,
-118.22841666666666,49.01683333333333,,,15,0,,22,2021-07-22 00:00:00,0,,0,0,,,7,BILLINGS,2021,,,,1140876,,,BC,22,29,,,1140876.2021.7.22,,0,,4,,
-118.22841666666666,49.01683333333333,,,0.5,4.2,,23,2018-11-23 00:00:00,4.2,,16.2,0,,,11,BILLINGS,2018,,,,1140876,,,BC,1.8,3,,,1140876.2018.11.23,,0,,0,,
-118.22841666666666,49.01683333333333,,,8,0,,6,2014-09-06 00:00:00,0,,0,0,,,9,BILLINGS,2014,,,,1140876,,,BC,18.5,29,,,1140876.2014.9.6,,0,,0.5,,
-118.22841666666666,49.01683333333333,,,-3.5,0,,17,2015-02-17 00:00:00,0,,15.5,0,,,2,BILLINGS,2015,,,,1140876,,,BC,2.5,8.5,,,1140876.2015.2.17,,0,,0,,
