x,y,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_MONTH,STATION_NAME,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,ID,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST,LOCAL_DAY,CLIMATE_IDENTIFIER,LOCAL_DATE
-128.63416666666666,54.05361111111111,,,6,12,10,KITIMAT TOWNSITE,T,,9,0,1064320.2016.10.26,,0,,2016,,,0,,9,0,,T,,,BC,,0,,,,26,1064320,2016-10-26 00:00:00
-128.63416666666666,54.05361111111111,,,-5,-1,12,KITIMAT TOWNSITE,,,-3,0,1064320.2018.12.8,,0,,2018,,,0,,21,4,,,,,BC,,4,,,,8,1064320,2018-12-08 00:00:00
-128.63416666666666,54.05361111111111,,,8,25,9,KITIMAT TOWNSITE,,,16.5,0,1064320.2014.9.5,,0,,2014,,,0,,1.5,0,,,,,BC,,0,,,,5,1064320,2014-09-05 00:00:00
-128.63416666666666,54.05361111111111,,,-1,0,1,KITIMAT TOWNSITE,,,-0.5,0,1064320.2019.1.6,,0,,2019,,,0,,18.5,5,,,,,BC,,5,,,,6,1064320,2019-01-06 00:00:00
-128.63416666666666,54.05361111111111,,,16,29,8,KITIMAT TOWNSITE,,,22.5,0,1064320.2013.8.1,,0,,2013,,,4.5,,0,0,,,,,BC,,0,,,,1,1064320,2013-08-01 00:00:00
-128.63416666666666,54.05361111111111,,,-2,3,11,KITIMAT TOWNSITE,,,0.5,9,1064320.2019.11.11,,1,,2019,,,0,,17.5,9,,,,,BC,,0,,,,11,1064320,2019-11-11 00:00:00
-128.63416666666666,54.05361111111111,,,5,8,11,KITIMAT TOWNSITE,,,6.5,35,1064320.2018.11.4,,0,,2018,,,0,,11.5,35,,,,,BC,,0,,,,4,1064320,2018-11-04 00:00:00
-128.63416666666666,54.05361111111111,,,0,4.5,11,KITIMAT TOWNSITE,,,2.3,10.4,1064320.2013.11.21,,10,,2013,,,0,,15.7,10.4,,,,,BC,,0,,,,21,1064320,2013-11-21 00:00:00
-128.63416666666666,54.05361111111111,,,5,12,10,KITIMAT TOWNSITE,,,8.5,0,1064320.2020.10.13,,0,,2020,,,0,,9.5,0,,,,,BC,,0,,,,13,1064320,2020-10-13 00:00:00
-128.63416666666666,54.05361111111111,,,12,23,7,KITIMAT TOWNSITE,,,17.5,2,1064320.2016.7.11,,0,,2016,,,0,,0.5,2,,,,,BC,,0,,,,11,1064320,2016-07-11 00:00:00
-128.63416666666666,54.05361111111111,,,4,10,10,KITIMAT TOWNSITE,,,7,31,1064320.2014.10.17,,0,,2014,,,0,,11,31,,,,,BC,,0,,,,17,1064320,2014-10-17 00:00:00
-128.63416666666666,54.05361111111111,,,1,4,1,KITIMAT TOWNSITE,,,2.5,13.2,1064320.2013.1.30,,0,,2013,,,0,,15.5,13.2,,,,,BC,,0,,,,30,1064320,2013-01-30 00:00:00
-128.63416666666666,54.05361111111111,,,-6,-1,1,KITIMAT TOWNSITE,,,-3.5,0,1064320.2016.1.9,,0,,2016,,,0,,21.5,2,,,,,BC,,2,,,,9,1064320,2016-01-09 00:00:00
-128.63416666666666,54.05361111111111,,,4,14,9,KITIMAT TOWNSITE,,,9,0,1064320.2019.9.29,,0,,2019,,,0,,9,0,,,,,BC,,0,,,,29,1064320,2019-09-29 00:00:00
-128.63416666666666,54.05361111111111,,,4,7,11,KITIMAT TOWNSITE,,,5.5,0,1064320.2019.11.19,,0,,2019,,,0,,12.5,0,,,,,BC,,0,,,,19,1064320,2019-11-19 00:00:00
-128.63416666666666,54.05361111111111,,,7,26,9,KITIMAT TOWNSITE,,,16.5,0,1064320.2014.9.14,,0,,2014,,,0,,1.5,0,,,,,BC,,0,,,,14,1064320,2014-09-14 00:00:00
-128.63416666666666,54.05361111111111,,,-7,12,3,KITIMAT TOWNSITE,,,2.5,0,1064320.2018.3.18,,0,,2018,,,0,,15.5,0,,,,,BC,,0,,,,18,1064320,2018-03-18 00:00:00
-128.63416666666666,54.05361111111111,,,-1,5,2,KITIMAT TOWNSITE,,,2,15,1064320.2020.2.25,,5,,2020,,,0,,16,15,,,,,BC,,0,,,,25,1064320,2020-02-25 00:00:00
-128.63416666666666,54.05361111111111,,,12,12,10,KITIMAT TOWNSITE,,,12,2,1064320.2015.10.1,,0,,2015,,,0,,6,2,,,,,BC,,0,,,,1,1064320,2015-10-01 00:00:00
-128.63416666666666,54.05361111111111,,,10,27,8,KITIMAT TOWNSITE,,,18.5,0,1064320.2014.8.23,,0,,2014,,,0.5,,0,0,,,,,BC,,0,,,,23,1064320,2014-08-23 00:00:00
-128.63416666666666,54.05361111111111,,,-14,-5,12,KITIMAT TOWNSITE,,,-9.5,0,1064320.2016.12.10,,0,,2016,,,0,,27.5,0,,,,,BC,,0,,,,10,1064320,2016-12-10 00:00:00
-128.63416666666666,54.05361111111111,,,-6,-3,2,KITIMAT TOWNSITE,,,-4.5,0,1064320.2017.2.5,,0,,2017,,,0,,22.5,0,,,,,BC,,0,,,,5,1064320,2017-02-05 00:00:00
-128.63416666666666,54.05361111111111,,,0,23,9,KITIMAT TOWNSITE,,,11.5,0,1064320.2016.9.12,,0,,2016,,,0,,6.5,0,,,,,BC,,0,,,,12,1064320,2016-09-12 00:00:00
-128.63416666666666,54.05361111111111,,,4,10,10,KITIMAT TOWNSITE,,,7,22,1064320.2018.10.26,,0,,2018,,,0,,11,22,,,,,BC,,0,,,,26,1064320,2018-10-26 00:00:00
-128.63416666666666,54.05361111111111,,,5,12,10,KITIMAT TOWNSITE,,,8.5,0,1064320.2018.10.27,,0,,2018,,,0,,9.5,0,,,,,BC,,0,,,,27,1064320,2018-10-27 00:00:00
-128.63416666666666,54.05361111111111,,,12,17,9,KITIMAT TOWNSITE,,,14.5,2,1064320.2016.9.5,,0,,2016,,,0,,3.5,2,,,,,BC,,0,,,,5,1064320,2016-09-05 00:00:00
-128.63416666666666,54.05361111111111,,,6,17,4,KITIMAT TOWNSITE,,,11.5,0,1064320.2018.4.24,,0,,2018,,,0,,6.5,0,,,,,BC,,0,,,,24,1064320,2018-04-24 00:00:00
-128.63416666666666,54.05361111111111,,,5,23.5,5,KITIMAT TOWNSITE,,,14.3,0,1064320.2015.5.18,,0,,2015,,,0,,3.7,0,,,,,BC,,0,,,,18,1064320,2015-05-18 00:00:00
-128.63416666666666,54.05361111111111,,,5,14,10,KITIMAT TOWNSITE,,,9.5,0,1064320.2016.10.28,,0,,2016,,,0,,8.5,0,,,,,BC,,0,,,,28,1064320,2016-10-28 00:00:00
-128.63416666666666,54.05361111111111,,,-3,3,11,KITIMAT TOWNSITE,,,0,0,1064320.2014.11.12,,0,,2014,,,0,,18,0,,,,,BC,,0,,,,12,1064320,2014-11-12 00:00:00
-128.63416666666666,54.05361111111111,,,4,11,10,KITIMAT TOWNSITE,,,7.5,2.2,1064320.2020.10.17,,0,,2020,,,0,,10.5,2.2,,,,,BC,,0,,,,17,1064320,2020-10-17 00:00:00
-128.63416666666666,54.05361111111111,,,11.5,21,5,KITIMAT TOWNSITE,,,16.3,0,1064320.2015.5.13,,0,,2015,,,0,,1.7,0,,,,,BC,,0,,,,13,1064320,2015-05-13 00:00:00
-128.63416666666666,54.05361111111111,,,2,19,4,KITIMAT TOWNSITE,T,,10.5,0,1064320.2016.4.10,,,,2016,,,0,,7.5,0,,T,,M,BC,,0,,,,10,1064320,2016-04-10 00:00:00
-128.63416666666666,54.05361111111111,,,-2,12,4,KITIMAT TOWNSITE,,,5,5,1064320.2017.4.20,,0,,2017,,,0,,13,5,,,,,BC,,0,,,,20,1064320,2017-04-20 00:00:00
-128.63416666666666,54.05361111111111,,,15,20,7,KITIMAT TOWNSITE,,,17.5,0,1064320.2018.7.18,,0,,2018,,,0,,0.5,0,,,,,BC,,0,,,,18,1064320,2018-07-18 00:00:00
-128.63416666666666,54.05361111111111,,,3,5,2,KITIMAT TOWNSITE,,,4,11,1064320.2013.2.2,,0,,2013,,,0,,14,11,,,,,BC,,0,,,,2,1064320,2013-02-02 00:00:00
-128.63416666666666,54.05361111111111,,,4,23.5,6,KITIMAT TOWNSITE,,,13.8,0,1064320.2017.6.6,,0,,2017,,,0,,4.2,0,,,,,BC,,0,,,,6,1064320,2017-06-06 00:00:00
-128.63416666666666,54.05361111111111,,,-3,3,10,KITIMAT TOWNSITE,,,0,0,1064320.2017.10.21,,0,,2017,,,0,,18,9,,,,,BC,,9,,,,21,1064320,2017-10-21 00:00:00
-128.63416666666666,54.05361111111111,,,5,17,10,KITIMAT TOWNSITE,,,11,0.2,1064320.2020.10.5,,0,,2020,,,0,,7,0.2,,,,,BC,,0,,,,5,1064320,2020-10-05 00:00:00
-128.63416666666666,54.05361111111111,,,-7,-0.5,2,KITIMAT TOWNSITE,,,-3.8,0,1064320.2014.2.3,,0,,2014,,,0,,21.8,0,,,,,BC,,0,,,,3,1064320,2014-02-03 00:00:00
-128.63416666666666,54.05361111111111,,,7,17,5,KITIMAT TOWNSITE,,,12,0,1064320.2016.5.8,,0,,2016,,,0,,6,0,,,,,BC,,0,,,,8,1064320,2016-05-08 00:00:00
-128.63416666666666,54.05361111111111,,,0,4,3,KITIMAT TOWNSITE,,,2,41,1064320.2021.3.13,,0,,2021,,,0,,16,41,T,,,,BC,,0,,,,13,1064320,2021-03-13 00:00:00
-128.63416666666666,54.05361111111111,,,16,30.5,7,KITIMAT TOWNSITE,,,23.3,0,1064320.2016.7.17,,0,,2016,,,5.3,,0,0,,,,,BC,,0,,,,17,1064320,2016-07-17 00:00:00
-128.63416666666666,54.05361111111111,,,9,21,5,KITIMAT TOWNSITE,,,15,0,1064320.2018.5.10,,0,,2018,,,0,,3,0,,,,,BC,,0,,,,10,1064320,2018-05-10 00:00:00
-128.63416666666666,54.05361111111111,,,12,27,7,KITIMAT TOWNSITE,,,19.5,0,1064320.2018.7.15,,0,,2018,,,1.5,,0,0,,,,,BC,,0,,,,15,1064320,2018-07-15 00:00:00
-128.63416666666666,54.05361111111111,,,0,9,10,KITIMAT TOWNSITE,,,4.5,2,1064320.2016.10.31,,0,,2016,,,0,,13.5,2,,,,,BC,,0,,,,31,1064320,2016-10-31 00:00:00
-128.63416666666666,54.05361111111111,,,3,5,2,KITIMAT TOWNSITE,,,4,0,1064320.2015.2.19,,0,,2015,,,0,,14,0,,,,,BC,,0,,,,19,1064320,2015-02-19 00:00:00
-128.63416666666666,54.05361111111111,,,4,8,10,KITIMAT TOWNSITE,,,6,12.2,1064320.2013.10.30,,0,,2013,,,0,,12,12.2,,,,,BC,,0,,,,30,1064320,2013-10-30 00:00:00
-128.63416666666666,54.05361111111111,,,12,16.5,6,KITIMAT TOWNSITE,,,14.3,2.6,1064320.2015.6.7,,0,,2015,,,0,,3.7,2.6,,,,,BC,,0,,,,7,1064320,2015-06-07 00:00:00
-128.63416666666666,54.05361111111111,,,-2,23,4,KITIMAT TOWNSITE,,,10.5,0,1064320.2018.4.27,,0,,2018,,,0,,7.5,0,,,,,BC,,0,,,,27,1064320,2018-04-27 00:00:00
-128.63416666666666,54.05361111111111,,,7,14.5,5,KITIMAT TOWNSITE,,,10.8,15.2,1064320.2014.5.22,,0,,2014,,,0,,7.2,15.2,,,,,BC,,0,,,,22,1064320,2014-05-22 00:00:00
-128.63416666666666,54.05361111111111,,,-2,4,11,KITIMAT TOWNSITE,,,1,31,1064320.2017.11.24,,0,,2017,,,0,,17,35,,,,,BC,,4,,,,24,1064320,2017-11-24 00:00:00
